team,playerName,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
NE,Damien Harris,Left D Gap,7.300000000000001,6,0,13.299999999999999,0.5782608695652174
NE,Damien Harris,Left Off-Tackle Gap Unknown,18.299999999999994,30,-1,47.30000000000001,1.0063829787234044
NE,Damien Harris,Right A Gap,24.0,12,-1,35.0,0.6481481481481481
NE,Damien Harris,Right D Gap,13.800000000000002,18,0,31.8,1.6736842105263159
NE,Damien Harris,Right Off-Tackle Gap Unknown,26.8,12,0,38.800000000000004,0.8255319148936171
ATL,Damien Williams,Left A Gap,1.2,0,0,1.2,0.24
ATL,Damien Williams,Left D Gap,1.8,0,0,1.8,0.2571428571428572
ATL,Damien Williams,Left Off-Tackle Gap Unknown,5.1000000000000005,6,0,11.1,1.2333333333333334
ATL,Damien Williams,Right A Gap,3.8000000000000003,6,0,9.8,0.9800000000000001
ATL,Damien Williams,Right D Gap,0.30000000000000004,0,0,0.30000000000000004,0.15000000000000002
ATL,Damien Williams,Right Off-Tackle Gap Unknown,4.200000000000001,0,0,4.200000000000001,0.6000000000000002
NYG,Daniel Jones,Left A Gap,2.8000000000000003,6,0,8.8,1.7600000000000002
NYG,Daniel Jones,Left D Gap,12.1,0,0,12.1,1.0083333333333333
NYG,Daniel Jones,Left Off-Tackle Gap Unknown,3.4000000000000004,0,0,3.4000000000000004,0.3777777777777778
NYG,Daniel Jones,Middle,0.5000000000000001,6,0,6.5000000000000036,0.4642857142857145
NYG,Daniel Jones,Right A Gap,1.0999999999999999,0,0,1.0999999999999999,0.27499999999999997
NYG,Daniel Jones,Right D Gap,11.1,0,-1,10.1,0.505
NYG,Daniel Jones,Right Off-Tackle Gap Unknown,1.4000000000000001,0,0,1.4000000000000001,1.4000000000000001
NYG,Darius Slayton,Right D Gap,-1.3,0,0,-1.3,-1.3
CHI,Darnell Mooney,Left D Gap,3.0,6,0,9.0,1.8
CHI,Darnell Mooney,Right D Gap,0.2,0,0,0.2,0.2
ARI,Darrel Williams,Left A Gap,14.600000000000003,0,0,14.600000000000003,0.35609756097560985
ARI,Darrel Williams,Left D Gap,1.8000000000000003,0,0,1.8000000000000003,0.30000000000000004
ARI,Darrel Williams,Left Off-Tackle Gap Unknown,18.7,6,0,24.700000000000006,0.6500000000000001
ARI,Darrel Williams,Right A Gap,11.400000000000002,6,0,17.400000000000002,0.6444444444444445
ARI,Darrel Williams,Right D Gap,5.5,0,0,5.5,0.39285714285714285
ARI,Darrel Williams,Right Off-Tackle Gap Unknown,6.6000000000000005,24,0,30.599999999999994,1.2749999999999997
CHI,Darrynton Evans,Left Off-Tackle Gap Unknown,0.7,0,0,0.7,0.35
DET,David Blough,Left Off-Tackle Gap Unknown,0.6000000000000001,0,0,0.6000000000000001,0.6000000000000001
CHI,David Montgomery,Left A Gap,15.0,6,0,20.999999999999996,0.6176470588235293
CHI,David Montgomery,Left D Gap,7.299999999999998,0,0,7.299999999999998,0.3842105263157894
CHI,David Montgomery,Left Off-Tackle Gap Unknown,22.900000000000002,18,0,40.9,0.7716981132075471
CHI,David Montgomery,Middle,0.0,0,0,0.0,0.0
CHI,David Montgomery,Right A Gap,13.300000000000002,18,0,31.29999999999999,0.7113636363636361
CHI,David Montgomery,Right D Gap,4.300000000000001,0,-1,3.3000000000000007,0.23571428571428577
CHI,David Montgomery,Right Off-Tackle Gap Unknown,25.999999999999993,0,0,25.999999999999993,0.4062499999999999
CLE,David Njoku,Left D Gap,0.1,0,0,0.1,0.1
HOU,Davis Mills,Left A Gap,0.4,0,0,0.4,0.2
HOU,Davis Mills,Left Off-Tackle Gap Unknown,0.2,0,0,0.2,0.2
HOU,Davis Mills,Middle,0.2,0,0,0.2,0.04
HOU,Davis Mills,Right A Gap,2.0,0,0,2.0,0.6666666666666666
HOU,Davis Mills,Right D Gap,3.7,0,0,3.7,0.37
HOU,Davis Mills,Right Off-Tackle Gap Unknown,0.30000000000000004,0,0,0.30000000000000004,0.30000000000000004
NYG,Davis Webb,Middle,-0.30000000000000004,0,0,-0.30000000000000004,-0.15000000000000002
BUF,Dawson Knox,Left D Gap,0.5,6,0,6.5,6.5
WAS,Dax Milne,Right D Gap,0.1,0,0,0.1,0.1
LAC,DeAndre Carter,Left D Gap,10.8,0,0,10.8,1.35
LAC,DeAndre Carter,Left Off-Tackle Gap Unknown,0.2,0,0,0.2,0.2
LAC,DeAndre Carter,Right D Gap,-0.30000000000000004,0,0,-0.30000000000000004,-0.30000000000000004
SEA,Dee Eskridge,Right D Gap,5.9,0,0,5.9,1.475
SF,Deebo Samuel,Left A Gap,3.0000000000000004,6,0,8.999999999999998,1.2857142857142854
SF,Deebo Samuel,Left D Gap,9.1,18,0,27.099999999999994,1.1291666666666664
SF,Deebo Samuel,Left Off-Tackle Gap Unknown,10.5,6,0,16.5,0.9705882352941176
SF,Deebo Samuel,Right A Gap,3.1,6,0,9.1,3.033333333333333
SF,Deebo Samuel,Right D Gap,18.1,18,0,36.099999999999994,1.6409090909090907
SF,Deebo Samuel,Right Off-Tackle Gap Unknown,6.900000000000002,0,0,6.900000000000002,0.46000000000000013
NO,Deonte Harty,Right D Gap,4.4,0,0,4.4,0.8800000000000001
LV,Derek Carr,Left A Gap,1.2000000000000002,0,0,1.2000000000000002,0.4000000000000001
LV,Derek Carr,Left D Gap,5.7,0,0,5.7,0.8142857142857143
LV,Derek Carr,Left Off-Tackle Gap Unknown,0.1,0,0,0.1,0.1
LV,Derek Carr,Middle,-0.19999999999999998,0,0,-0.19999999999999998,-0.010526315789473684
LV,Derek Carr,Right A Gap,1.0,0,0,1.0,0.3333333333333333
LV,Derek Carr,Right D Gap,3.8000000000000003,0,0,3.8000000000000003,0.76
