team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
WAS,Cam Sims,Cover 3,22.200000000000003,0,16,38.199999999999996,139.0,0.27482014388489207,28,59,0.4745762711864407
WAS,Cam Sims,Cover 4,4.5,0,3,7.5,58.0,0.12931034482758622,8,59,0.13559322033898305
WAS,Cam Sims,Cover 6,0.9,0,1,1.9,8.0,0.2375,2,59,0.03389830508474576
WAS,Cam Sims,Man Cover 2,4.800000000000001,6,4,14.799999999999999,21.0,0.7047619047619047,6,59,0.1016949152542373
WAS,Cam Sims,Screen,4.4,0,4,8.4,16.0,0.525,4,59,0.06779661016949153
TB,Cameron Brate,Cover 0,0.5,0,1,1.5,5.0,0.3,1,42,0.023809523809523808
TB,Cameron Brate,Cover 1,12.200000000000003,12,11,35.2,40.0,0.8800000000000001,15,42,0.35714285714285715
TB,Cameron Brate,Cover 2,8.3,0,6,14.3,19.0,0.7526315789473684,7,42,0.16666666666666666
TB,Cameron Brate,Cover 4,7.800000000000001,6,7,20.799999999999997,22.0,0.9454545454545453,9,42,0.21428571428571427
TB,Cameron Brate,Cover 6,0.7000000000000001,0,1,1.7000000000000002,7.0,0.24285714285714288,2,42,0.047619047619047616
TB,Cameron Brate,Man Cover 2,4.2,0,5,9.2,12.0,0.7666666666666666,8,42,0.19047619047619047
DAL,CeeDee Lamb,Combination,0.0,0,0,0.0,15.0,0.0,1,113,0.008849557522123894
DAL,CeeDee Lamb,Cover 0,0.7000000000000001,0,1,1.7000000000000002,14.0,0.12142857142857144,4,113,0.035398230088495575
DAL,CeeDee Lamb,Cover 1,17.1,12,11,40.099999999999994,90.0,0.4455555555555555,25,113,0.22123893805309736
DAL,CeeDee Lamb,Cover 2,6.7,0,5,11.7,72.0,0.16249999999999998,7,113,0.061946902654867256
DAL,CeeDee Lamb,Cover 3,27.799999999999997,0,20,47.800000000000004,117.0,0.4085470085470086,29,113,0.25663716814159293
DAL,CeeDee Lamb,Cover 4,24.799999999999997,18,13,55.800000000000004,101.0,0.5524752475247525,21,113,0.18584070796460178
DAL,CeeDee Lamb,Man Cover 2,8.0,0,5,13.0,33.0,0.3939393939393939,7,113,0.061946902654867256
DAL,CeeDee Lamb,Prevent,0.0,0,0,0.0,20.0,0.0,3,113,0.02654867256637168
DAL,CeeDee Lamb,Screen,5.8,0,16,21.800000000000004,41.0,0.5317073170731709,16,113,0.1415929203539823
HOU,Chad Beebe,Cover 3,8.0,0,9,16.999999999999996,56.0,0.3035714285714285,12,28,0.42857142857142855
HOU,Chad Beebe,Cover 4,3.6,6,4,13.6,37.0,0.36756756756756753,10,28,0.35714285714285715
HOU,Chad Beebe,Cover 6,0.5,0,1,1.5,8.0,0.1875,2,28,0.07142857142857142
HOU,Chad Beebe,Man Cover 2,0.4,0,1,1.4,22.0,0.06363636363636363,3,28,0.10714285714285714
HOU,Chad Beebe,Prevent,4.0,6,1,11.0,12.0,0.9166666666666666,1,28,0.03571428571428571
PIT,Chase Claypool,Combination,0.0,0,0,0.0,12.0,0.0,2,130,0.015384615384615385
PIT,Chase Claypool,Cover 0,3.8000000000000003,0,2,5.800000000000001,11.0,0.5272727272727273,3,130,0.023076923076923078
PIT,Chase Claypool,Cover 1,26.900000000000002,18,16,60.900000000000006,101.0,0.6029702970297031,33,130,0.25384615384615383
PIT,Chase Claypool,Cover 2,4.8,6,4,14.8,63.0,0.23492063492063492,11,130,0.08461538461538462
PIT,Chase Claypool,Cover 3,20.200000000000006,6,20,46.19999999999999,116.0,0.3982758620689654,34,130,0.26153846153846155
PIT,Chase Claypool,Cover 4,17.3,12,14,43.300000000000004,57.0,0.7596491228070176,27,130,0.2076923076923077
PIT,Chase Claypool,Cover 6,4.3,6,2,12.3,7.0,1.7571428571428573,3,130,0.023076923076923078
PIT,Chase Claypool,Man Cover 2,11.299999999999999,12,4,27.3,22.0,1.240909090909091,7,130,0.05384615384615385
PIT,Chase Claypool,Other,0.0,0,0,0.0,8.0,0.0,1,130,0.007692307692307693
PIT,Chase Claypool,Prevent,1.5,0,1,2.5,12.0,0.20833333333333334,1,130,0.007692307692307693
PIT,Chase Claypool,Screen,5.4,6,6,17.4,33.0,0.5272727272727272,8,130,0.06153846153846154
MIA,Chase Edmonds,Combination,0.4,0,1,1.4,8.0,0.175,1,70,0.014285714285714285
MIA,Chase Edmonds,Cover 0,1.5000000000000002,12,3,16.5,14.0,1.1785714285714286,5,70,0.07142857142857142
MIA,Chase Edmonds,Cover 1,3.8000000000000003,0,5,8.8,41.0,0.21463414634146344,8,70,0.11428571428571428
MIA,Chase Edmonds,Cover 2,8.5,0,10,18.5,33.0,0.5606060606060606,11,70,0.15714285714285714
MIA,Chase Edmonds,Cover 3,11.800000000000002,6,13,30.800000000000004,69.0,0.44637681159420295,15,70,0.21428571428571427
MIA,Chase Edmonds,Cover 4,9.3,0,9,18.300000000000004,61.0,0.30000000000000004,13,70,0.18571428571428572
MIA,Chase Edmonds,Cover 6,2.3,0,3,5.3,7.0,0.7571428571428571,3,70,0.04285714285714286
MIA,Chase Edmonds,Other,0.30000000000000004,6,1,7.3,10.0,0.73,2,70,0.02857142857142857
MIA,Chase Edmonds,Screen,4.2,0,10,14.200000000000003,29.0,0.4896551724137932,12,70,0.17142857142857143
SEA,Chris Carson,Combination,1.3,0,1,2.3,4.0,0.575,1,47,0.02127659574468085
SEA,Chris Carson,Cover 1,7.800000000000001,6,6,19.800000000000004,39.0,0.5076923076923078,7,47,0.14893617021276595
SEA,Chris Carson,Cover 2,2.5,0,4,6.5,34.0,0.19117647058823528,7,47,0.14893617021276595
SEA,Chris Carson,Cover 3,9.700000000000001,12,12,33.7,42.0,0.8023809523809524,13,47,0.2765957446808511
SEA,Chris Carson,Cover 4,3.6000000000000005,0,7,10.6,18.0,0.5888888888888889,8,47,0.1702127659574468
SEA,Chris Carson,Cover 6,0.4,0,1,1.4,2.0,0.7,1,47,0.02127659574468085
SEA,Chris Carson,Screen,4.3,6,8,18.3,15.0,1.22,10,47,0.2127659574468085
