,nickName,TargetType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
957,Raiders,Screen - TE,1,0.12,0,0,0.12,0.12
958,Raiders,Screen - Tunnel,10,2.04,4,0,6.04,0.604
959,Raiders,Seam,10,3.12,12,0,15.120000000000001,1.512
960,Raiders,Slant,26,8.600000000000003,0,0,8.600000000000003,0.33076923076923087
961,Raiders,Sluggo,1,0.88,4,0,4.88,4.88
962,Raiders,Stick - Nod,1,0.88,0,0,0.88,0.88
963,Raiders,Swing - Left,9,1.5999999999999999,0,0,1.5999999999999999,0.17777777777777776
964,Raiders,Swing - Right,11,2.2,0,0,2.2,0.2
965,Raiders,Wheel,7,5.4,8,0,13.4,1.9142857142857144
966,Raiders,Whip,6,1.28,0,0,1.28,0.21333333333333335
967,Rams,Angle,10,3.7199999999999998,12,0,15.719999999999999,1.5719999999999998
968,Rams,Beneath,1,0.0,0,0,0.0,0.0
969,Rams,Broken Play,52,12.24,0,-2,10.24,0.19692307692307692
970,Rams,Check & Release,9,2.3600000000000003,0,0,2.3600000000000003,0.26222222222222225
971,Rams,Chip - Curl,2,0.6,0,0,0.6,0.3
972,Rams,Chip - Drag,4,1.12,0,0,1.12,0.28
973,Rams,Chip - Flat,9,0.7600000000000001,0,0,0.7600000000000001,0.08444444444444446
974,Rams,Chip - Seam,1,0.4,0,0,0.4,0.4
975,Rams,Comeback,17,2.88,0,-1,1.8800000000000001,0.11058823529411765
976,Rams,Corner,18,7.48,8,-2,13.48,0.7488888888888889
977,Rams,Curl,114,33.519999999999996,0,-3,30.519999999999992,0.26771929824561397
978,Rams,Deep Cross,16,9.12,4,-3,10.12,0.6325
979,Rams,Dig,59,18.879999999999995,12,-3,27.87999999999999,0.47254237288135575
