,team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
1629,KC,Travis Kelce,Cover 4,16.800000000000004,6,18,40.800000000000004,99.0,0.41212121212121217
1630,KC,Travis Kelce,Cover 6,7.300000000000001,6,4,17.3,25.0,0.6920000000000001
1631,KC,Travis Kelce,Man Cover 2,21.000000000000004,0,14,35.0,69.0,0.5072463768115942
1634,KC,Travis Kelce,Prevent,2.5,0,1,3.5,3.0,1.1666666666666667
1635,KC,Travis Kelce,Screen,7.500000000000001,6,13,26.499999999999996,33.0,0.8030303030303029
1640,NO,Tre'Quan Smith,Cover 0,3.1,6,2,11.1,8.0,1.3875
1642,NO,Tre'Quan Smith,Cover 4,5.2,0,6,11.200000000000001,49.0,0.2285714285714286
1645,MIA,Trent Sherfield,Cover 2,1.6,0,2,3.6,22.0,0.16363636363636364
1649,CIN,Trenton Irwin,Prevent,0.9,0,1,1.9,2.0,0.95
1650,DET,Trinity Benson,Combination,0.0,0,0,0.0,1.0,0.0
1653,NE,Ty Montgomery,Cover 0,0.0,0,0,0.0,10.0,0.0
1654,NE,Ty Montgomery,Cover 2,0.1,0,1,1.1,18.0,0.061111111111111116
1656,NE,Ty Montgomery,Man Cover 2,1.6,0,3,4.6,9.0,0.5111111111111111
1657,NE,Ty Montgomery,Screen,1.4,0,5,6.4,12.0,0.5333333333333333
1659,BAL,Tylan Wallace,Cover 0,1.8,0,1,2.8,1.0,2.8
1663,CIN,Tyler Boyd,Cover 2,19.1,0,13,32.10000000000001,88.0,0.36477272727272736
1664,CIN,Tyler Boyd,Cover 4,10.400000000000002,0,11,21.400000000000002,81.0,0.26419753086419756
1665,CIN,Tyler Boyd,Cover 6,1.6,0,2,3.6,23.0,0.1565217391304348
1666,CIN,Tyler Boyd,Man Cover 2,1.7000000000000002,0,3,4.699999999999999,26.0,0.18076923076923074
1667,CIN,Tyler Boyd,Prevent,1.9000000000000001,0,1,2.9000000000000004,1.0,2.9000000000000004
1668,CIN,Tyler Boyd,Screen,5.1000000000000005,0,9,14.099999999999998,18.0,0.7833333333333332
1670,NYJ,Tyler Conklin,Cover 2,5.300000000000001,0,5,10.3,44.0,0.2340909090909091
1671,NYJ,Tyler Conklin,Cover 4,10.899999999999999,0,12,22.9,80.0,0.28625
1672,NYJ,Tyler Conklin,Cover 6,0.0,0,0,0.0,12.0,0.0
1673,NYJ,Tyler Conklin,Man Cover 2,4.000000000000001,0,7,11.0,47.0,0.23404255319148937
1675,NYJ,Tyler Conklin,Prevent,0.7000000000000001,0,1,1.7000000000000002,6.0,0.2833333333333334
1676,NYJ,Tyler Conklin,Screen,6.000000000000001,0,7,13.000000000000002,19.0,0.6842105263157896
1678,LAR,Tyler Higbee,Cover 0,0.7000000000000001,0,1,1.7000000000000002,6.0,0.2833333333333334
1679,LAR,Tyler Higbee,Cover 2,6.2,6,7,19.2,58.0,0.3310344827586207
1680,LAR,Tyler Higbee,Cover 4,8.200000000000001,0,8,16.2,104.0,0.15576923076923077
1681,LAR,Tyler Higbee,Cover 6,3.7,0,3,6.7,14.0,0.4785714285714286
1682,LAR,Tyler Higbee,Man Cover 2,1.1,0,2,3.1,26.0,0.11923076923076924
1684,LAR,Tyler Higbee,Screen,11.700000000000001,6,15,32.70000000000001,19.0,1.7210526315789478
1686,TB,Tyler Johnson,Cover 0,0.7000000000000001,0,1,1.7000000000000002,5.0,0.34
1687,TB,Tyler Johnson,Cover 2,3.4000000000000004,0,5,8.4,46.0,0.1826086956521739
1688,TB,Tyler Johnson,Cover 4,6.2,0,5,11.2,49.0,0.22857142857142856
1689,TB,Tyler Johnson,Cover 6,5.1000000000000005,0,3,8.1,15.0,0.5399999999999999
1690,TB,Tyler Johnson,Man Cover 2,6.0,0,4,10.0,39.0,0.2564102564102564
1692,TB,Tyler Johnson,Prevent,2.2,0,2,4.2,6.0,0.7000000000000001
1693,TB,Tyler Johnson,Screen,1.6,0,3,4.6,18.0,0.25555555555555554
1695,SEA,Tyler Lockett,Cover 0,2.3000000000000003,6,1,9.3,5.0,1.86
1696,SEA,Tyler Lockett,Cover 2,3.6000000000000005,0,2,5.6000000000000005,56.0,0.1
1697,SEA,Tyler Lockett,Cover 4,14.3,0,10,24.3,88.0,0.2761363636363636
1698,SEA,Tyler Lockett,Man Cover 2,8.8,6,3,17.8,23.0,0.773913043478261
1700,SEA,Tyler Lockett,Prevent,9.1,0,6,15.1,19.0,0.7947368421052632
1701,SEA,Tyler Lockett,Screen,2.0,6,7,15.0,19.0,0.7894736842105263
1703,MIA,Tyreek Hill,Cover 0,0.0,0,0,0.0,1.0,0.0
1704,MIA,Tyreek Hill,Cover 2,14.800000000000002,0,13,27.8,78.0,0.3564102564102564
1705,MIA,Tyreek Hill,Cover 4,29.800000000000004,6,26,61.800000000000004,97.0,0.6371134020618557
1706,MIA,Tyreek Hill,Cover 6,2.3,0,2,4.3,21.0,0.20476190476190476
1707,MIA,Tyreek Hill,Man Cover 2,22.100000000000005,6,14,42.1,71.0,0.5929577464788732
1710,MIA,Tyreek Hill,Prevent,1.9000000000000001,0,1,2.9000000000000004,4.0,0.7250000000000001
1711,MIA,Tyreek Hill,Screen,5.0,0,14,19.0,45.0,0.4222222222222222
1714,LV,Tyron Johnson,Man Cover 2,0.0,0,0,0.0,1.0,0.0
1716,LAR,Van Jefferson,Cover 0,1.5,0,3,4.5,9.0,0.5
1717,LAR,Van Jefferson,Cover 2,18.4,6,8,32.4,67.0,0.4835820895522388
1718,LAR,Van Jefferson,Cover 4,11.200000000000001,0,10,21.2,107.0,0.19813084112149532
1719,LAR,Van Jefferson,Cover 6,10.4,6,3,19.4,17.0,1.1411764705882352
1720,LAR,Van Jefferson,Man Cover 2,0.0,0,0,0.0,31.0,0.0
