,team,playerName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
225,DET,D'Andre Swift,Zone,21.800000000000004,0,28,49.800000000000004,163.0,0.30552147239263805
226,CLE,D'Ernest Johnson,Man,7.3999999999999995,0,7,14.400000000000002,14.0,1.0285714285714287
227,CLE,D'Ernest Johnson,Other,4.6,0,8,12.6,17.0,0.7411764705882353
230,CAR,D'Onta Foreman,Other,5.4,0,2,7.4,7.0,1.0571428571428572
232,NYJ,D.J. Montgomery,Man,0.8,0,1,1.8,6.0,0.3
234,CAR,DJ Moore,Man,47.699999999999996,6,39,92.70000000000002,254.0,0.3649606299212599
235,CAR,DJ Moore,Other,15.2,12,20,47.2,68.0,0.6941176470588236
236,CAR,DJ Moore,Zone,56.1,6,37,99.10000000000004,265.0,0.3739622641509435
237,SEA,DK Metcalf,Man,44.7,48,30,122.70000000000003,147.0,0.8346938775510206
238,SEA,DK Metcalf,Other,10.1,6,10,26.099999999999998,54.0,0.4833333333333333
239,SEA,DK Metcalf,Zone,45.59999999999999,24,37,106.60000000000002,260.0,0.4100000000000001
240,PHI,Dallas Goedert,Man,42.9,18,25,85.89999999999999,126.0,0.6817460317460317
241,PHI,Dallas Goedert,Other,16.5,6,16,38.50000000000001,32.0,1.2031250000000002
242,PHI,Dallas Goedert,Zone,40.39999999999999,6,26,72.39999999999998,146.0,0.49589041095890396
243,DAL,Dalton Schultz,Man,22.999999999999996,30,25,78.0,232.0,0.33620689655172414
244,DAL,Dalton Schultz,Other,18.9,18,18,54.9,25.0,2.1959999999999997
245,DAL,Dalton Schultz,Zone,50.49999999999999,6,44,100.50000000000001,223.0,0.4506726457399104
246,MIN,Dalvin Cook,Man,4.7,0,9,13.700000000000001,44.0,0.3113636363636364
247,MIN,Dalvin Cook,Other,9.9,0,15,24.9,29.0,0.8586206896551724
248,MIN,Dalvin Cook,Zone,7.800000000000001,0,10,17.800000000000004,87.0,0.20459770114942533
250,NE,Damien Harris,Other,2.5000000000000004,0,6,8.5,9.0,0.9444444444444444
251,NE,Damien Harris,Zone,7.3,0,10,17.3,47.0,0.36808510638297876
