,team,playerName,CoverageType_pooled,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
93,BUF,Josh Allen,Zone,263,80.83999999999997,40,-8,112.84,0.4290494296577947,263,651,0.4039938556067588
94,DEN,Josh Johnson,Man,29,6.44,4,-3,7.4399999999999995,0.25655172413793104,29,78,0.3717948717948718
95,DEN,Josh Johnson,Other,16,2.8800000000000003,4,0,6.880000000000002,0.4300000000000001,16,78,0.20512820512820512
96,DEN,Josh Johnson,Zone,33,11.040000000000003,8,0,19.04,0.5769696969696969,33,78,0.4230769230769231
97,CHI,Justin Fields,Man,98,22.479999999999993,4,-4,22.479999999999997,0.2293877551020408,98,282,0.3475177304964539
98,CHI,Justin Fields,Other,36,8.64,12,-2,18.64,0.5177777777777778,36,282,0.1276595744680851
99,CHI,Justin Fields,Zone,148,36.95999999999999,4,-5,35.95999999999999,0.24297297297297288,148,282,0.524822695035461
100,LAC,Justin Herbert,Man,271,74.11999999999998,28,-5,97.11999999999998,0.35837638376383757,271,606,0.4471947194719472
101,LAC,Justin Herbert,Other,65,13.439999999999996,56,0,69.44000000000001,1.0683076923076924,65,606,0.10726072607260725
102,LAC,Justin Herbert,Zone,270,76.4,28,-9,95.4,0.35333333333333333,270,606,0.44554455445544555
103,MIN,Kellen Mond,Man,1,0.0,0,0,0.0,0.0,1,2,0.5
104,MIN,Kellen Mond,Other,1,0.24,0,0,0.24,0.24,1,2,0.5
105,MIN,Kirk Cousins,Man,222,59.199999999999996,44,-3,100.20000000000003,0.4513513513513515,222,512,0.43359375
106,MIN,Kirk Cousins,Other,65,13.87999999999999,40,0,53.88000000000001,0.8289230769230771,65,512,0.126953125
107,MIN,Kirk Cousins,Zone,225,67.88000000000002,36,-5,98.88000000000001,0.4394666666666667,225,512,0.439453125
108,HOU,Kyle Allen,Man,10,3.3200000000000007,0,0,3.3200000000000007,0.3320000000000001,10,19,0.5263157894736842
109,HOU,Kyle Allen,Other,5,1.52,0,0,1.52,0.304,5,19,0.2631578947368421
110,HOU,Kyle Allen,Zone,4,0.0,0,0,0.0,0.0,4,19,0.21052631578947367
111,ARI,Kyler Murray,Man,178,51.079999999999984,24,-2,73.07999999999998,0.4105617977528089,178,483,0.36853002070393376
112,ARI,Kyler Murray,Other,89,18.479999999999997,16,-3,31.48,0.3537078651685393,89,483,0.18426501035196688
113,ARI,Kyler Murray,Zone,216,72.07999999999997,36,-5,103.07999999999997,0.4772222222222221,216,483,0.4472049689440994
114,BAL,Lamar Jackson,Man,98,18.279999999999998,0,-2,16.279999999999998,0.1661224489795918,98,389,0.2519280205655527
115,BAL,Lamar Jackson,Other,51,13.44,28,-2,39.440000000000005,0.7733333333333334,51,389,0.13110539845758354
116,BAL,Lamar Jackson,Zone,240,73.39999999999999,36,-10,99.39999999999986,0.4141666666666661,240,389,0.6169665809768637
117,NE,Mac Jones,Man,243,66.75999999999998,32,-9,89.75999999999998,0.3693827160493826,243,548,0.44343065693430656
118,NE,Mac Jones,Other,66,14.479999999999999,44,-1,57.480000000000004,0.870909090909091,66,548,0.12043795620437957
119,NE,Mac Jones,Zone,239,66.60000000000001,16,-5,77.59999999999998,0.3246861924686192,239,548,0.43613138686131386
120,ATL,Marcus Mariota,Man,1,0.0,0,0,0.0,0.0,1,1,1.0
