,playerName,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
1372,Jeff Smith,5 Step,4.8,0,2,6.8,8.0,0.85
1382,Jeremy McNichols,0/1 Step,2.6,0,9,11.6,10.0,1.16
1383,Jeremy McNichols,3 Step,9.9,6,8,23.900000000000002,16.0,1.4937500000000001
1389,Jerick McKinnon,0/1 Step,4.800000000000001,6,7,17.8,7.0,2.542857142857143
1397,Jerry Jeudy,0/1 Step,8.100000000000001,0,10,18.1,13.0,1.3923076923076925
1398,Jerry Jeudy,3 Step,20.200000000000003,0,18,38.199999999999996,24.0,1.5916666666666666
1399,Jerry Jeudy,5 Step,7.700000000000001,0,5,12.700000000000001,8.0,1.5875000000000001
1400,Jerry Jeudy,7 Step,11.4,0,4,15.399999999999999,8.0,1.9249999999999998
1414,Jimmy Graham,7 Step,5.100000000000001,0,5,10.1,6.0,1.6833333333333333
1421,Joe Mixon,0/1 Step,9.1,6,12,27.1,12.0,2.2583333333333333
1422,Joe Mixon,3 Step,16.9,6,35,57.900000000000006,23.0,2.5173913043478264
1424,Joe Mixon,7 Step,0.9000000000000001,0,3,3.9000000000000004,3.0,1.3
1439,John Ross,5 Step,12.1,0,5,17.1,6.0,2.85
1446,Jonathan Taylor,3 Step,7.900000000000001,0,14,21.900000000000006,19.0,1.1526315789473687
1448,Jonathan Taylor,7 Step,7.7,6,6,19.7,9.0,2.1888888888888887
1459,Jonnu Smith,5 Step,9.9,6,12,27.900000000000002,18.0,1.55
1460,Jonnu Smith,7 Step,4.2,0,5,9.2,8.0,1.15
1465,Jordan Akins,0/1 Step,1.2,0,3,4.2,7.0,0.6
1466,Jordan Akins,3 Step,14.7,0,14,28.7,18.0,1.5944444444444443
1480,Josh Jacobs,0/1 Step,6.300000000000002,0,13,19.299999999999997,12.0,1.6083333333333332
1481,Josh Jacobs,3 Step,14.4,0,23,37.4,27.0,1.385185185185185
1482,Josh Jacobs,5 Step,10.600000000000001,0,15,25.599999999999998,15.0,1.7066666666666666
1483,Josh Jacobs,7 Step,1.0,0,3,4.0,2.0,2.0
1486,Josh Oliver,0/1 Step,2.9000000000000004,0,5,7.9,6.0,1.3166666666666667
1490,Josh Palmer,0/1 Step,4.8,0,5,9.8,6.0,1.6333333333333335
1492,Josh Palmer,5 Step,11.200000000000003,18,9,38.2,13.0,2.9384615384615387
1493,Josh Palmer,7 Step,1.4,0,2,3.4,3.0,1.1333333333333333
1497,Josh Reynolds,0/1 Step,7.5,0,8,15.5,11.0,1.4090909090909092
1498,Josh Reynolds,3 Step,16.000000000000004,12,10,38.0,21.0,1.8095238095238095
1499,Josh Reynolds,5 Step,6.6000000000000005,0,5,11.600000000000001,9.0,1.288888888888889
1500,Josh Reynolds,7 Step,3.9000000000000004,0,2,5.9,5.0,1.1800000000000002
1511,Josiah Deguara,7 Step,1.0,0,2,3.0,3.0,1.0
1516,JuJu Smith-Schuster,0/1 Step,8.200000000000001,0,8,16.200000000000003,7.0,2.3142857142857145
1517,JuJu Smith-Schuster,3 Step,4.5,0,7,11.499999999999998,14.0,0.8214285714285713
1521,Julio Jones,0/1 Step,15.500000000000002,6,16,37.5,18.0,2.0833333333333335
1522,Julio Jones,3 Step,16.0,0,9,25.000000000000004,15.0,1.666666666666667
1523,Julio Jones,5 Step,11.400000000000002,0,6,17.400000000000002,9.0,1.9333333333333336
1529,Justin Jackson,5 Step,7.1,0,11,18.1,11.0,1.6454545454545455
1530,Justin Jackson,7 Step,0.9,0,1,1.9,2.0,0.95
1532,Justin Jefferson,0/1 Step,16.7,0,19,35.7,32.0,1.115625
1533,Justin Jefferson,3 Step,65.60000000000001,30,43,138.6,67.0,2.06865671641791
1534,Justin Jefferson,5 Step,40.1,12,21,73.1,36.0,2.0305555555555554
1535,Justin Jefferson,7 Step,19.1,12,9,40.10000000000001,15.0,2.673333333333334
1540,Juwan Johnson,0/1 Step,3.5,12,5,20.5,7.0,2.9285714285714284
1554,K.J. Hamler,7 Step,2.8000000000000003,0,1,3.8000000000000003,3.0,1.2666666666666668
1558,K.J. Osborn,0/1 Step,13.3,6,12,31.300000000000004,18.0,1.7388888888888892
1559,K.J. Osborn,3 Step,18.500000000000004,12,16,46.5,30.0,1.55
1560,K.J. Osborn,5 Step,18.1,12,13,43.1,17.0,2.5352941176470587
1561,K.J. Osborn,7 Step,10.6,12,4,26.6,7.0,3.8000000000000003
1566,Kadarius Toney,0/1 Step,1.4,0,4,5.3999999999999995,7.0,0.7714285714285714
1567,Kadarius Toney,3 Step,16.200000000000003,0,16,32.2,23.0,1.4000000000000001
1568,Kadarius Toney,5 Step,10.299999999999999,0,5,15.300000000000002,9.0,1.7000000000000002
1578,Kalif Raymond,0/1 Step,10.500000000000002,0,12,22.5,13.0,1.7307692307692308
1579,Kalif Raymond,3 Step,22.7,12,19,53.699999999999996,27.0,1.9888888888888887
1580,Kalif Raymond,5 Step,7.800000000000001,0,5,12.799999999999999,13.0,0.9846153846153846
1581,Kalif Raymond,7 Step,4.9,0,3,7.9,7.0,1.1285714285714286
1589,Kareem Hunt,5 Step,2.8,0,5,7.8,6.0,1.3
1590,Kareem Hunt,7 Step,1.1,0,3,4.1,3.0,1.3666666666666665
1595,Keelan Cole,0/1 Step,7.700000000000001,0,7,14.7,11.0,1.3363636363636362
1596,Keelan Cole,3 Step,17.800000000000004,6,9,32.800000000000004,15.0,2.186666666666667
1597,Keelan Cole,5 Step,13.5,0,9,22.5,19.0,1.1842105263157894
1598,Keelan Cole,7 Step,4.1000000000000005,0,2,6.1,4.0,1.525
1602,Keenan Allen,0/1 Step,17.500000000000004,0,21,38.50000000000001,33.0,1.166666666666667
1603,Keenan Allen,3 Step,34.0,12,32,77.99999999999999,49.0,1.5918367346938773
1604,Keenan Allen,5 Step,37.199999999999996,18,23,78.2,34.0,2.3000000000000003
1605,Keenan Allen,7 Step,14.500000000000002,0,9,23.500000000000007,12.0,1.958333333333334
1629,Kendall Hinton,3 Step,11.5,0,9,20.5,12.0,1.7083333333333333
1634,Kendrick Bourne,0/1 Step,17.700000000000003,6,9,32.7,12.0,2.725
1635,Kendrick Bourne,3 Step,29.4,18,27,74.39999999999999,29.0,2.56551724137931
1636,Kendrick Bourne,5 Step,27.4,12,18,57.4,19.0,3.0210526315789474
