team,playerName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
TB,Chris Godwin,43.0,0/1 Step,36.7,12,39,87.69999999999999,43.0,2.03953488372093,44,120,0.36666666666666664
TB,Chris Godwin,47.0,3 Step,43.5,6,36,85.49999999999999,47.0,1.8191489361702124,48,120,0.4
TB,Chris Godwin,19.0,5 Step,22.2,12,13,47.199999999999996,19.0,2.484210526315789,20,120,0.16666666666666666
TB,Chris Godwin,8.0,7 Step,7.600000000000001,0,3,10.6,8.0,1.325,8,120,0.06666666666666667
HOU,Chris Moore,10.0,0/1 Step,4.000000000000001,0,10,14.0,10.0,1.4,11,11,1.0
JAX,Christian Kirk,27.0,0/1 Step,19.500000000000004,0,31,50.49999999999999,27.0,1.87037037037037,33,103,0.32038834951456313
JAX,Christian Kirk,31.0,3 Step,25.200000000000003,12,22,59.199999999999996,31.0,1.9096774193548385,34,103,0.3300970873786408
JAX,Christian Kirk,27.0,5 Step,35.5,6,17,58.49999999999999,27.0,2.1666666666666665,30,103,0.2912621359223301
JAX,Christian Kirk,6.0,7 Step,14.399999999999999,12,5,31.400000000000002,6.0,5.233333333333333,6,103,0.05825242718446602
CAR,Christian McCaffrey,23.0,3 Step,20.599999999999998,0,23,43.599999999999994,23.0,1.8956521739130432,25,31,0.8064516129032258
CAR,Christian McCaffrey,6.0,5 Step,4.800000000000001,0,5,9.8,6.0,1.6333333333333335,6,31,0.1935483870967742
CAR,Chuba Hubbard,5.0,0/1 Step,1.2000000000000002,0,3,4.2,5.0,0.8400000000000001,5,30,0.16666666666666666
CAR,Chuba Hubbard,17.0,3 Step,8.0,0,10,18.0,17.0,1.0588235294117647,17,30,0.5666666666666667
CAR,Chuba Hubbard,8.0,5 Step,4.4,0,5,9.400000000000002,8.0,1.1750000000000003,8,30,0.26666666666666666
KC,Clyde Edwards-Helaire,7.0,0/1 Step,5.1,0,5,10.1,7.0,1.4428571428571428,7,9,0.7777777777777778
KC,Clyde Edwards-Helaire,2.0,7 Step,-0.09999999999999998,0,2,1.9,2.0,0.95,2,9,0.2222222222222222
CHI,Cole Kmet,23.0,0/1 Step,14.1,0,15,29.1,23.0,1.2652173913043478,23,79,0.2911392405063291
CHI,Cole Kmet,38.0,3 Step,22.7,0,21,43.699999999999996,38.0,1.15,39,79,0.4936708860759494
CHI,Cole Kmet,14.0,5 Step,13.899999999999999,0,13,26.900000000000002,14.0,1.9214285714285715,15,79,0.189873417721519
CHI,Cole Kmet,2.0,7 Step,1.8,0,2,3.8,2.0,1.9,2,79,0.02531645569620253
LAR,Cooper Kupp,16.0,0/1 Step,15.100000000000001,0,17,32.1,16.0,2.00625,19,202,0.09405940594059406
LAR,Cooper Kupp,76.0,3 Step,82.60000000000001,72,70,224.6,76.0,2.955263157894737,101,202,0.5
