,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
452,Cole Beasley,Screen,6.699999999999999,0,16,22.7,27.0,0.8407407407407407
454,Cole Kmet,Combination,0.2,0,1,1.2,4.0,0.3
455,Cole Kmet,Cover 0,0.6000000000000001,0,1,1.6,12.0,0.13333333333333333
456,Cole Kmet,Cover 2,9.799999999999999,0,9,18.8,50.0,0.376
457,Cole Kmet,Cover 4,6.100000000000001,0,8,14.1,95.0,0.14842105263157895
458,Cole Kmet,Cover 6,4.4,0,2,6.4,14.0,0.4571428571428572
459,Cole Kmet,Man Cover 2,1.8,0,2,3.8,17.0,0.22352941176470587
461,Cole Kmet,Prevent,2.0,0,2,4.0,10.0,0.4
462,Cole Kmet,Screen,3.4000000000000004,0,5,8.4,13.0,0.6461538461538462
465,Collin Johnson,Cover 2,1.7000000000000002,0,3,4.7,17.0,0.27647058823529413
470,Cooper Kupp,Cover 0,6.700000000000001,12,4,22.700000000000003,10.0,2.2700000000000005
471,Cooper Kupp,Cover 2,23.3,18,16,57.300000000000004,75.0,0.764
472,Cooper Kupp,Cover 4,44.300000000000004,12,40,96.3,125.0,0.7704
473,Cooper Kupp,Cover 6,4.2,6,3,13.2,19.0,0.6947368421052631
474,Cooper Kupp,Man Cover 2,10.5,0,8,18.5,37.0,0.5
477,Cooper Kupp,Prevent,1.4000000000000001,0,1,2.4000000000000004,2.0,1.2000000000000002
478,Cooper Kupp,Screen,22.900000000000002,6,26,54.90000000000002,26.0,2.1115384615384625
481,Cordarrelle Patterson,Cover 4,9.000000000000002,0,9,18.0,30.0,0.6
482,Cordarrelle Patterson,Cover 6,0.1,0,1,1.1,5.0,0.22000000000000003
483,Cordarrelle Patterson,Man Cover 2,7.7,0,2,9.7,11.0,0.8818181818181817
485,Cordarrelle Patterson,Other,0.6000000000000001,0,1,1.6,1.0,1.6
486,Cordarrelle Patterson,Screen,11.2,0,15,26.200000000000003,19.0,1.3789473684210527
489,Corey Davis,Combination,0.0,0,0,0.0,3.0,0.0
490,Corey Davis,Cover 0,0.0,0,0,0.0,6.0,0.0
491,Corey Davis,Cover 2,3.4000000000000004,6,2,11.399999999999999,28.0,0.4071428571428571
492,Corey Davis,Cover 4,6.300000000000001,0,6,12.3,32.0,0.384375
493,Corey Davis,Cover 6,0.4,0,1,1.4,5.0,0.27999999999999997
494,Corey Davis,Man Cover 2,0.8,6,1,7.8,6.0,1.3
498,Courtland Sutton,Combination,2.5,0,1,3.5,6.0,0.5833333333333334
499,Courtland Sutton,Cover 0,3.8000000000000003,0,2,5.800000000000001,9.0,0.6444444444444445
500,Courtland Sutton,Cover 2,0.7000000000000001,0,1,1.7000000000000002,60.0,0.028333333333333335
501,Courtland Sutton,Cover 4,17.8,0,11,28.799999999999997,66.0,0.43636363636363634
502,Courtland Sutton,Cover 6,1.8000000000000003,0,2,3.8000000000000003,11.0,0.34545454545454546
503,Courtland Sutton,Man Cover 2,2.7,0,2,4.7,24.0,0.19583333333333333
504,Courtland Sutton,Prevent,0.0,0,0,0.0,12.0,0.0
511,Curtis Samuel,Screen,1.3,0,4,5.300000000000001,4.0,1.3250000000000002
513,Cyril Grayson Jr,Cover 0,6.2,6,2,14.2,4.0,3.55
516,Cyril Grayson Jr,Cover 6,3.3000000000000003,6,1,10.3,3.0,3.4333333333333336
518,D'Andre Swift,Cover 2,2.3000000000000003,0,5,7.299999999999999,29.0,0.25172413793103443
519,D'Andre Swift,Cover 4,11.2,0,13,24.200000000000003,59.0,0.41016949152542376
520,D'Andre Swift,Cover 6,1.8000000000000003,0,2,3.8000000000000003,7.0,0.5428571428571429
522,D'Andre Swift,Screen,15.200000000000001,12,20,47.199999999999996,33.0,1.4303030303030302
525,D'Ernest Johnson,Man Cover 2,0.8,0,1,1.8,14.0,0.1285714285714286
526,D'Ernest Johnson,Screen,4.6,0,8,12.6,17.0,0.7411764705882353
529,D'Onta Foreman,Screen,5.4,0,2,7.4,6.0,1.2333333333333334
530,D.J. Montgomery,Man Cover 2,0.8,0,1,1.8,6.0,0.3
531,DJ Chark Jr,Cover 2,8.700000000000001,6,3,17.700000000000003,29.0,0.610344827586207
534,DJ Moore,Combination,2.0,0,1,3.0,4.0,0.75
