nickName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
Giants,Cover 6,10.6,0,8,18.6,53.0,0.3509433962264151,10,433,0.023094688221709007
Giants,Man Cover 2,25.5,18,20,63.49999999999999,37.0,1.716216216216216,48,433,0.11085450346420324
Giants,Prevent,0.9,0,1,1.9,47.0,0.04042553191489361,2,433,0.004618937644341801
Giants,Screen,15.699999999999996,0,33,48.70000000000002,120.0,0.4058333333333335,40,433,0.09237875288683603
Jaguars,Combination,0.7000000000000001,0,1,1.7000000000000002,100.0,0.017,1,414,0.0024154589371980675
Jaguars,Cover 0,6.500000000000001,12,6,24.499999999999996,34.0,0.7205882352941175,9,414,0.021739130434782608
Jaguars,Cover 1,121.50000000000004,60,83,264.49999999999994,739.0,0.35791610284167785,144,414,0.34782608695652173
Jaguars,Cover 2,7.6000000000000005,6,9,22.599999999999998,421.0,0.05368171021377672,13,414,0.03140096618357488
Jaguars,Cover 3,110.70000000000002,48,95,253.7,695.0,0.36503597122302156,129,414,0.3115942028985507
Jaguars,Cover 4,28.5,0,24,52.50000000000001,357.0,0.1470588235294118,45,414,0.10869565217391304
Jaguars,Cover 6,7.3999999999999995,6,7,20.400000000000002,48.0,0.42500000000000004,9,414,0.021739130434782608
Jaguars,Man Cover 2,7.000000000000001,6,6,19.0,85.0,0.2235294117647059,10,414,0.024154589371980676
Jaguars,Prevent,2.5,0,2,4.5,72.0,0.0625,2,414,0.004830917874396135
Jaguars,Screen,45.3,12,47,104.3,167.0,0.6245508982035928,52,414,0.12560386473429952
Jets,Combination,0.7000000000000001,0,1,1.7000000000000002,76.0,0.022368421052631583,1,451,0.0022172949002217295
Jets,Cover 0,3.5,12,6,21.5,21.0,1.0238095238095237,12,451,0.026607538802660754
Jets,Cover 1,89.40000000000003,54,75,218.40000000000003,636.0,0.3433962264150944,124,451,0.2749445676274945
Jets,Cover 2,44.29999999999998,24,40,108.3,96.0,1.128125,52,451,0.11529933481152993
Jets,Cover 3,115.30000000000001,42,95,252.3,505.0,0.4996039603960396,138,451,0.30598669623059865
Jets,Cover 4,20.400000000000002,12,19,51.4,166.0,0.3096385542168675,34,451,0.07538802660753881
Jets,Cover 6,14.9,6,14,34.9,54.0,0.6462962962962963,18,451,0.03991130820399113
Jets,Man Cover 2,14.500000000000002,0,12,26.500000000000004,38.0,0.6973684210526316,24,451,0.05321507760532151
Jets,Other,1.3,0,1,2.3,48.0,0.04791666666666666,2,451,0.004434589800443459
Jets,Screen,22.200000000000003,12,38,72.2,122.0,0.5918032786885246,46,451,0.10199556541019955
Lions,Combination,0.4,6,1,7.4,49.0,0.1510204081632653,1,370,0.002702702702702703
Lions,Cover 0,5.300000000000001,6,6,17.299999999999997,28.0,0.6178571428571428,10,370,0.02702702702702703
Lions,Cover 1,112.30000000000001,66,76,254.29999999999995,387.0,0.6571059431524546,125,370,0.33783783783783783
Lions,Cover 2,24.900000000000002,6,26,56.900000000000006,289.0,0.19688581314878895,35,370,0.0945945945945946
Lions,Cover 3,134.10000000000002,54,102,290.09999999999997,549.0,0.528415300546448,128,370,0.34594594594594597
Lions,Cover 4,18.9,6,19,43.900000000000006,350.0,0.12542857142857144,26,370,0.07027027027027027
Lions,Cover 6,1.4000000000000001,0,1,2.4000000000000004,24.0,0.10000000000000002,2,370,0.005405405405405406
Lions,Man Cover 2,18.4,6,12,36.4,88.0,0.41363636363636364,24,370,0.06486486486486487
Lions,Prevent,4.6,6,2,12.6,60.0,0.21,2,370,0.005405405405405406
Lions,Screen,14.3,0,13,27.299999999999997,159.0,0.17169811320754716,17,370,0.04594594594594595
Packers,Combination,3.3000000000000003,12,3,18.299999999999997,36.0,0.5083333333333333,3,409,0.007334963325183374
Packers,Cover 0,0.1,0,1,1.1,71.0,0.015492957746478875,3,409,0.007334963325183374
Packers,Cover 1,49.89999999999999,18,50,117.90000000000002,439.0,0.26856492027334855,83,409,0.20293398533007334
Packers,Cover 2,25.700000000000003,6,29,60.70000000000002,229.0,0.2650655021834062,43,409,0.10513447432762836
Packers,Cover 3,96.60000000000001,30,71,197.59999999999997,443.0,0.44604966139954844,103,409,0.25183374083129584
Packers,Cover 4,66.79999999999997,24,56,146.8,208.0,0.7057692307692308,83,409,0.20293398533007334
Packers,Cover 6,18.900000000000002,0,20,38.90000000000001,40.0,0.9725000000000004,27,409,0.06601466992665037
Packers,Man Cover 2,6.9,0,6,12.899999999999999,85.0,0.1517647058823529,14,409,0.034229828850855744
Packers,Other,2.8000000000000003,0,3,5.800000000000001,32.0,0.18125000000000002,3,409,0.007334963325183374
Packers,Prevent,2.7,0,2,4.7,29.0,0.1620689655172414,5,409,0.012224938875305624
Packers,Screen,21.099999999999998,18,35,74.10000000000001,148.0,0.5006756756756757,42,409,0.10268948655256724
Panthers,Combination,0.0,0,0,0.0,48.0,0.0,1,385,0.0025974025974025974
Panthers,Cover 0,4.5,48,10,62.50000000000001,18.0,3.4722222222222228,16,385,0.04155844155844156
Panthers,Cover 1,30.3,18,25,73.29999999999998,395.0,0.1855696202531645,41,385,0.10649350649350649
Panthers,Cover 2,18.3,0,14,32.300000000000004,322.0,0.10031055900621119,19,385,0.04935064935064935
Panthers,Cover 3,106.30000000000001,6,101,213.29999999999995,650.0,0.3281538461538461,149,385,0.38701298701298703
Panthers,Cover 4,50.7,42,48,140.7,272.0,0.5172794117647058,74,385,0.19220779220779222
Panthers,Cover 6,6.800000000000001,0,7,13.8,45.0,0.3066666666666667,9,385,0.023376623376623377
Panthers,Man Cover 2,13.100000000000001,6,11,30.099999999999998,84.0,0.3583333333333333,21,385,0.05454545454545454
Panthers,Prevent,6.4,0,2,8.4,64.0,0.13125,2,385,0.005194805194805195
Panthers,Screen,29.999999999999993,0,49,79.00000000000001,157.0,0.5031847133757963,53,385,0.13766233766233765
Patriots,Combination,2.1,0,2,4.1,34.0,0.12058823529411763,2,381,0.005249343832020997
Patriots,Cover 0,11.3,12,14,37.3,59.0,0.6322033898305084,22,381,0.05774278215223097
Patriots,Cover 1,98.60000000000001,72,66,236.60000000000002,460.0,0.5143478260869566,119,381,0.3123359580052493
Patriots,Cover 2,25.10000000000001,0,27,52.100000000000016,56.0,0.9303571428571431,37,381,0.09711286089238845
Patriots,Cover 3,92.60000000000002,12,77,181.6,426.0,0.42629107981220654,107,381,0.28083989501312334
Patriots,Cover 4,24.700000000000003,6,19,49.7,222.0,0.2238738738738739,32,381,0.08398950131233596
