,nickName,touch,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
96,Eagles,45,Right D Gap,16.500000000000007,0,0,16.500000000000007,0.3666666666666668
97,Eagles,100,Right Off-Tackle Gap Unknown,53.500000000000014,24,0,77.50000000000001,0.7750000000000001
98,Falcons,89,Left A Gap,37.399999999999984,24,0,61.400000000000006,0.6898876404494383
99,Falcons,51,Left D Gap,26.099999999999998,24,0,50.09999999999999,0.9823529411764703
100,Falcons,79,Left Off-Tackle Gap Unknown,42.7,24,0,66.7,0.8443037974683545
101,Falcons,26,Middle,0.20000000000000015,0,-1,-0.7999999999999998,-0.030769230769230764
102,Falcons,133,Right A Gap,58.10000000000003,30,-1,87.10000000000002,0.654887218045113
103,Falcons,69,Right D Gap,41.69999999999999,6,0,47.69999999999999,0.6913043478260867
104,Falcons,89,Right Off-Tackle Gap Unknown,33.900000000000006,6,-2,37.90000000000002,0.4258426966292137
105,Football Team,77,Left A Gap,24.10000000000001,36,0,60.099999999999994,0.7805194805194804
106,Football Team,40,Left D Gap,28.299999999999997,6,0,34.300000000000004,0.8575000000000002
107,Football Team,98,Left Off-Tackle Gap Unknown,44.899999999999984,12,-1,55.89999999999998,0.5704081632653059
108,Football Team,17,Middle,0.20000000000000032,0,0,0.20000000000000032,0.01176470588235296
109,Football Team,71,Right A Gap,31.199999999999992,12,0,43.199999999999996,0.6084507042253521
110,Football Team,40,Right D Gap,16.6,12,-1,27.599999999999994,0.6899999999999998
111,Football Team,91,Right Off-Tackle Gap Unknown,35.7,6,-1,40.69999999999999,0.4472527472527471
112,Giants,58,Left A Gap,20.59999999999999,18,0,38.59999999999999,0.6655172413793101
113,Giants,50,Left D Gap,19.80000000000001,6,0,25.80000000000001,0.5160000000000002
114,Giants,110,Left Off-Tackle Gap Unknown,50.40000000000001,30,0,80.40000000000003,0.7309090909090912
115,Giants,12,Middle,-0.7,0,-1,-1.7000000000000006,-0.14166666666666672
116,Giants,76,Right A Gap,36.99999999999999,12,0,49.0,0.6447368421052632
117,Giants,62,Right D Gap,37.600000000000016,6,0,43.60000000000002,0.7032258064516133
118,Giants,133,Right Off-Tackle Gap Unknown,71.00000000000001,18,-1,88.00000000000003,0.661654135338346
119,Jaguars,65,Left A Gap,16.999999999999996,18,0,35.0,0.5384615384615384
120,Jaguars,59,Left D Gap,33.699999999999996,24,0,57.69999999999999,0.977966101694915
121,Jaguars,104,Left Off-Tackle Gap Unknown,50.19999999999999,36,0,86.19999999999999,0.8288461538461538
122,Jaguars,24,Middle,1.8999999999999997,0,0,1.8999999999999997,0.07916666666666665
123,Jaguars,95,Right A Gap,40.09999999999999,18,0,58.09999999999999,0.6115789473684209
124,Jaguars,61,Right D Gap,40.89999999999999,24,0,64.89999999999998,1.0639344262295078
125,Jaguars,99,Right Off-Tackle Gap Unknown,38.4,12,-1,49.4,0.498989898989899
126,Jets,86,Left A Gap,39.2,42,-1,80.19999999999997,0.9325581395348834
