,team,playerName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
355,WAS,Taylor Heinicke,Pass Protection,30,22.5,6,0,28.5,0.95
356,WAS,Taylor Heinicke,Zone,18,2.1999999999999993,0,0,2.1999999999999993,0.12222222222222218
357,NO,Taysom Hill,Pass Protection,10,9.200000000000001,0,0,9.200000000000001,0.9200000000000002
358,NO,Taysom Hill,Pull Across,35,15.400000000000002,24,0,39.400000000000006,1.125714285714286
359,NO,Taysom Hill,Zone,14,4.000000000000001,0,0,4.000000000000001,0.28571428571428575
360,MIA,Teddy Bridgewater,Pass Protection,13,8.9,6,-1,13.899999999999999,1.0692307692307692
361,MIA,Teddy Bridgewater,Zone,15,0.7,6,0,6.700000000000001,0.4466666666666667
362,NYJ,Tevin Coleman,Pull Across,18,8.299999999999999,0,0,8.299999999999999,0.461111111111111
363,NYJ,Tevin Coleman,Pull Front,6,5.2,0,0,5.2,0.8666666666666667
364,NYJ,Tevin Coleman,Split Zone,10,6.000000000000001,0,0,6.000000000000001,0.6000000000000001
365,NYJ,Tevin Coleman,Zone,45,16.3,0,0,16.3,0.3622222222222222
366,TB,Tom Brady,Pass Protection,11,7.6,0,-1,6.6,0.6
367,TB,Tom Brady,Zone,18,0.5000000000000001,12,0,12.500000000000004,0.6944444444444446
368,DAL,Tony Pollard,Duo,18,6.900000000000001,0,0,6.900000000000001,0.3833333333333334
369,DAL,Tony Pollard,Pull 2,7,2.8000000000000003,0,0,2.8000000000000003,0.4
370,DAL,Tony Pollard,Pull Across,17,10.2,0,0,10.2,0.6
371,DAL,Tony Pollard,Pull Outside Numbers,7,10.600000000000001,6,0,16.6,2.3714285714285714
372,DAL,Tony Pollard,Split Zone,8,4.7,0,0,4.7,0.5875
373,DAL,Tony Pollard,Zone,74,38.3,6,0,44.3,0.5986486486486486
374,JAX,Trevor Lawrence,Pass Protection,26,20.8,6,0,26.8,1.0307692307692309
375,JAX,Trevor Lawrence,Zone,34,8.500000000000002,6,0,14.500000000000002,0.42647058823529416
376,CHI,Trevor Siemian,Zone,6,-0.2,0,0,-0.2,-0.03333333333333333
377,SF,Trey Lance,Pass Protection,13,8.6,0,0,8.6,0.6615384615384615
378,SF,Trey Lance,Pull Across,8,3.2,0,0,3.2,0.4
379,SF,Trey Lance,Zone,10,1.2000000000000004,0,0,1.2000000000000004,0.12000000000000004
380,MIA,Tua Tagovailoa,Pass Protection,12,8.399999999999999,0,0,8.399999999999999,0.6999999999999998
381,MIA,Tua Tagovailoa,Zone,22,0.30000000000000016,12,0,12.3,0.5590909090909091
382,NE,Ty Montgomery,Zone,8,0.9,0,0,0.9,0.1125
383,BAL,Tyler Huntley,Pass Protection,22,19.0,12,-1,30.0,1.3636363636363635
384,BAL,Tyler Huntley,Pull 2,7,3.9000000000000004,0,0,3.9000000000000004,0.5571428571428572
385,BAL,Tyler Huntley,Pull Across,7,4.300000000000001,0,0,4.300000000000001,0.6142857142857144
386,BAL,Tyler Huntley,Zone,8,1.3,0,0,1.3,0.1625
387,MIA,Tyreek Hill,Zone,6,4.3,0,0,4.3,0.7166666666666667
388,NYG,Tyrod Taylor,Pass Protection,10,9.200000000000001,18,0,27.2,2.7199999999999998
389,NYJ,Zach Wilson,Pass Protection,13,15.700000000000001,6,0,21.7,1.669230769230769
390,NYJ,Zach Wilson,Zone,12,0.6000000000000001,18,0,18.599999999999998,1.5499999999999998
391,BUF,Zack Moss,Pass Protection,9,5.7,0,0,5.7,0.6333333333333333
392,BUF,Zack Moss,Pull Across,11,3.8,12,0,15.8,1.4363636363636365
393,BUF,Zack Moss,Split Zone,22,7.3999999999999995,0,0,7.3999999999999995,0.33636363636363636
394,BUF,Zack Moss,Zone,42,12.6,6,0,18.599999999999998,0.4428571428571428
